"","r.euc","r.seu","r.cos","r.cor"
"bd",0.0781017724413951,-0.0371877890841813,-0.00225770037090792,-0.019351717464925
"fa",0.0886220697541452,-0.258341042244835,0.538300274149331,0.377600387034349
"fica",0.200649350649351,0.130188097440641,0.430817610062893,0.391549750040316
"grp",0.473985134362493,-0.100339192106075,0.324544428318013,0.318577648766328
"icm",0.0305317324185249,0.0919518963922294,0.0773262377035962,0.242541525560393
"ipca",-0.0575185820468839,0.196423065063213,0.202709240445089,0.096758587324625
"isomap",-0.083285687059272,-0.100585877274129,0.206095791001451,0.0841799709724238
"ivis",0.00844125809435708,0.101821862348178,-0.0738899167437558,-0.0124884366327475
"kpca-cos",0.249399656946827,0.208510638297872,0.233026931140139,0.0897435897435897
"kpca-pol",0.134514960930055,-0.000308356460067838,0.469924205773262,0.363651024028382
"kpca-rbf",0.485353535353535,0.316558741905643,0.303821964199323,0.199725850669247
"lda",0.33600152468077,-0.0211532531606537,-0.0209643605870021,0.221254636348976
"lle",0.446753246753247,0.479578392621871,0.483147879374294,0.53515562006128
"lsnmf",0.253679653679654,0.376256552574776,0.202064183196259,0.454684728269634
"mctsne",-0.0450161997331809,0.246746839346284,0.195936139332366,0.192710853088212
"nmf",0.0850390699447303,-0.0355843354918286,0.158764715368489,0.215529753265602
"nmf2",0.1997113997114,-0.00548874498920752,0.02322206095791,0.258829221093372
"nsnmf",0.0536796536796537,-0.282022818378045,0.485970004837929,0.322125463634898
"pca",-0.0178768820278254,0.17286463151403,0.270682148040639,0.101112723754233
"phate",-0.083982683982684,0.180388529139685,0.208595387840671,0.102241573939687
"pmf",0.0660567943586811,-0.155720012334258,0.0273343009192066,0.146589259796807
"psmf",0.169408369408369,0.183267457180501,0.185131430414449,0.132156103854217
"saucie",0.190546979226224,-0.0760407030527289,0.189404934687954,0.0139493630059668
"snmf",0.066819134743663,-0.0189330866481653,0.0118529269472666,0.171907756813417
"spca",0.208730158730159,0.123650940487203,0.393001128850185,0.21359458151911
"spca-batch",0.326334776334776,0.222448350292939,0.361877116594098,0.0949040477342364
"spectral",0.446782776971456,0.0619796484736355,0.543327926235806,0.468966106036028
"srp",0.109018759018759,-0.0461917977181622,0.186170468187275,0.179795918367347
"tsvd",0.0056998556998557,-0.0507554733271662,-0.0568456700532172,-0.183115626511853
"umap",-0.135281385281385,0.133024976873265,0.314949201741655,0.327769714562167
"vasc",0.0624730188097441,-0.0898686679174484,0.451383399209486,0.295915678524374
"vpac",0.347113997113997,-0.122787542399013,0.268424447669731,0.164812127076278
"zifa",0.292292917166867,0.221080139372822,0.0145918367346939,-0.0955102040816326
