method,r.euc,r.seu,r.cor,r.cos
bd,0.5465486420908108,0.24739316923546512,0.2516562464619942,0.3868175621674354
fa,0.5136590774561163,0.4556560313409114,0.25787003194772395,0.2615746275550596
fica,0.6644758285004603,0.13814739415513383,0.2313983650521344,0.3287857175400611
grp,0.3335213992473403,0.15103873938690668,0.16945073865446175,0.27800516289008476
icm,0.14571812194605946,-0.008387637101037418,0.2587594264042162,0.2678625268014307
ipca,0.8123357570478039,0.12367974014385805,0.36735986166947526,0.4516408647484601
isomap,0.6684385500573724,0.19351342691995901,0.24915578120405601,0.2911088860225929
ivis,0.4037129375321448,0.10141018547877138,0.3748528847415145,0.4104593715740171
kpca-cos,0.6120218185739241,0.06994482384069588,0.4430574089503682,0.604214027687608
kpca-pol,0.6902009554077471,0.08851447539517417,0.23451404396122094,0.2800698218177427
kpca-rbf,0.02150400052979592,0.007515976169001111,0.007514739190603552,0.01662890589053683
lda,0.4668391773496367,0.2339542912812391,0.3578427371576438,0.43095892517971013
lle,0.3077475347393866,0.11028994299076686,0.12147505841718849,0.11601629521546676
lsnmf,0.015917420654262982,0.012138994902150814,0.012451380629829773,0.0109720234592841
mctsne,0.499717816486215,0.11431753012222437,0.2442056995562659,0.2664611980981772
nmf,0.7049782816822819,0.15822866890812898,0.43399244841670764,0.5779081334211759
nmf2,0.6974812068234332,0.09925727519439695,0.3799725373017885,0.5161396497423639
nsnmf,0.4822736208278257,0.21506826573238938,0.2801174444951089,0.3962938895389132
pca,0.8123709715804678,0.12419524720364353,0.35487884497676553,0.4515406924473937
phate,0.6860086092895612,0.09916887663534169,0.3053460594123711,0.43695460543931186
pmf,0.5689728894860209,0.22874649340854986,0.35665582842109605,0.4975462355885922
psmf,0.5087205138559405,0.4023773050832129,0.2818481300857585,0.34815480170235386
saucie,0.0021034474608345893,-0.002101652965385344,0.0003268441584832983,-0.0002426491681054649
snmf,0.6772097315655293,0.12993493060641495,0.4332852125524945,0.5493967748942653
spca,0.7985476498040509,0.12370691296882504,0.3069795564283854,0.4420614823692994
spca-batch,0.7339133316385116,0.1830916062536291,0.2944622355780167,0.3994976290842491
spectral,0.49100499434253236,0.08252922361668778,0.17092476368784054,0.2995196077201284
srp,0.17427304249075035,0.15684724397702648,0.12073930143598653,0.16909342003834216
tsvd,0.7944955295096484,0.14509618300133323,0.29609530684525426,0.6272588094892357
umap,0.5516711748183878,0.1646657907507684,0.27345966838987124,0.2934870769649354
vasc,0.48960530096044114,0.35420906059079194,0.2170715045488927,0.3086297268820745
vpac,0.4577190815735915,0.2578673110870632,0.23243046794189212,0.37199354713521515
zifa,0.4076296065834235,0.3190804073371257,0.2714201431881317,0.39922672827899774
