method,ss_euc,vrc,dbs
bd,0.5691558447277092,0.5463616513112718,0.5465486420908108
fa,0.5783134974634612,0.5336930574200649,0.5136590774561163
fica,0.6223088917072324,0.6517517766491584,0.6644758285004603
grp,0.8230701559552028,0.767394762258819,0.3335213992473403
icm,0.5796631315610106,0.57409845177815,0.14571812194605946
ipca,0.7667303956079349,0.725770317541357,0.8123357570478039
isomap,0.7204312348178994,0.6558284869665074,0.6684385500573724
ivis,0.36589349460700077,0.4151716630787285,0.4037129375321448
kpca-cos,0.5826555671348087,0.5403608821736495,0.6120218185739241
kpca-pol,0.7375732256457935,0.6861745739769539,0.6902009554077471
kpca-rbf,0.3003996272275025,0.32197583699787424,0.02150400052979592
lda,0.4367935734271878,0.4915307509042022,0.4668391773496367
lle,0.39275832426078283,0.4382084267396881,0.3077475347393866
lsnmf,0.5495872656099021,0.5791530390701201,0.015917420654262982
mctsne,0.6405225915617622,0.639852184981087,0.499717816486215
nmf,0.6270902747289469,0.6183986814035682,0.7049782816822819
nmf2,0.7158430968240458,0.664005183725276,0.6974812068234332
nsnmf,0.6286200987659064,0.5572222409304629,0.4822736208278257
pca,0.7589675406151813,0.7138069501224371,0.8123709715804678
phate,0.48970299238041304,0.49101721024664624,0.6860086092895612
pmf,0.6501800770007983,0.5819862722227775,0.5689728894860209
psmf,0.5569153059777457,0.5116490589849495,0.5087205138559405
saucie,0.005203162011886476,0.005798719032923199,0.0021034474608345893
snmf,0.620610811692405,0.621901760288643,0.6772097315655293
spca,0.7524960615621589,0.7108692047396103,0.7985476498040509
spca-batch,0.7083110881732207,0.690325372606017,0.7339133316385116
spectral,0.5040487034385046,0.5746366677592196,0.49100499434253236
srp,0.5881192610748119,0.4380456950422862,0.17427304249075035
tsvd,0.746719231579086,0.6839005004119837,0.7944955295096484
umap,0.601633110093075,0.6042053122660689,0.5516711748183878
vasc,0.33539172732166045,0.4023345771629564,0.48960530096044114
vpac,0.41939917652203135,0.43276616819401037,0.4577190815735915
zifa,0.48490276078059785,0.4622957624293656,0.4076296065834235
